,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ALDH1L2,195.14923036314056,2.0583506654602486,0.3362469200900247,6.121545038714877,9.267231540730231e-10,2.66266096628261e-07,True
RASGRP1,79.59868288043928,1.3309326911000425,0.2182397978568109,6.098487554379424,1.0707673271904545e-09,3.016204592630994e-07,True
PLAU,7631.185707578442,1.0793210696451379,0.17757260419223753,6.078195871231806,1.215422369199325e-09,3.3578380299841354e-07,True
DDX60L,518.2007316161204,1.4957097342565748,0.24663608547948432,6.064439967690742,1.3241422471287802e-09,3.5891750041985017e-07,True
DANCR,293.09748205001887,-1.0392337779070233,0.17169319848851808,-6.052853502968095,1.4230227082585366e-09,3.7857674494152105e-07,True
TIPARP,1564.2436049400828,1.714630353925659,0.28361544793661225,6.045616930953906,1.488393556125918e-09,3.8876839686008976e-07,True
CHST11,517.4422915254728,0.7310984046950371,0.1211278699309876,6.0357571309689435,1.5821906821931207e-09,4.058884167926138e-07,True
TNFAIP3,1166.8064695205267,2.0724587006648654,0.34540636282699766,6.000059419006389,1.9724533729265254e-09,4.971274588677625e-07,True
PDGFB,434.3247490749118,1.4635158826861312,0.2440842228868905,5.995946257306151,2.023039234369849e-09,5.010858903613319e-07,True
OAS3,2643.5607110779224,1.570207530216207,0.26231275248852265,5.986012938066786,2.1504726943393673e-09,5.236218767267687e-07,True
TNFAIP2,5739.440011823182,1.4533775611396533,0.24308709304089385,5.978834758187494,2.2473938167045204e-09,5.381009928462856e-07,True
ZC3H12C,231.94141241211105,1.255947282961165,0.21018681508381515,5.975385670411045,2.2954647753061256e-09,5.40600769869636e-07,True
LAMC2,36798.198067030404,1.7847568077513238,0.2999746154614362,5.949692793191584,2.686462360505871e-09,6.22479326952054e-07,True
NFE2L3,980.5502247595971,0.7746909471349713,0.13045994260493207,5.93815183163881,2.8825303241899467e-09,6.472235653517787e-07,True
OSMR,2115.2114794286886,0.9148977170486888,0.15407234249862092,5.938104803312625,2.8833571058411414e-09,6.472235653517787e-07,True
EGOT,29.611154549381677,2.513030301193187,0.423565028598454,5.933044825510317,2.973676201718535e-09,6.572281894444381e-07,True
CRYM,27.323395752619614,-1.5399636161384498,0.26122854505689025,-5.895081702511022,3.744960360839644e-09,8.151530385427625e-07,True
ETS1,917.4122797734033,1.1647905728622208,0.19891641070300353,5.85567861769503,4.750661214353885e-09,1.0186268508269837e-06,True
PARP14,1101.205406307156,1.2508238264566298,0.2140092698543794,5.844717975570596,5.074272028383951e-09,1.072014587643586e-06,True
TLR2,60.76978298070375,1.2575188623437215,0.21602667690460967,5.821127651280776,5.845190355795739e-09,1.2169855746574144e-06,True
VIL1,40.814655464425186,-2.029755666902651,0.349881949770882,-5.801258590881363,6.581900465257755e-09,1.3507940297698988e-06,True
RND3,1816.8711857200124,1.0913333147643085,0.18883999076018387,5.779143021407156,7.508208113623966e-09,1.519196024793266e-06,True
TMPO-AS1,70.34011876023554,-1.1083222007153528,0.19215134137817022,-5.767964942456895,8.02344905985366e-09,1.600900961025801e-06,True
L1CAM,346.611534433507,0.9938281463112151,0.17238815472855873,5.76506052794689,8.162854020353042e-09,1.606404943238244e-06,True
NCOA7,1297.2687409373168,1.2180547477701866,0.2116072088356844,5.75620629595857,8.602524922586886e-09,1.6468959392062816e-06,True
RAP1GAP,585.7289848609515,-1.0993850350560506,0.19102316319905466,-5.755244634444893,8.651641429098426e-09,1.6468959392062816e-06,True
ROCK1P1,17.669390115777897,2.3956806025868485,0.416346129551938,5.7540599816912525,8.71252202280923e-09,1.6468959392062816e-06,True
TRIM36,32.22492473317603,1.3174006891470837,0.2293468541916639,5.744141090534162,9.238873144921052e-09,1.7016109179478953e-06,True
DUOX2,48.82028424312214,1.9786639709185792,0.34438331122471477,5.745528039329043,9.16345701453925e-09,1.7016109179478953e-06,True
KIF21B,129.80625361025568,1.1522201930285036,0.20067461353269528,5.741733708836947,9.371210838833656e-09,1.7041368976035987e-06,True
GK,95.23523723097159,0.7850304262822696,0.1378968469645917,5.692881625377881,1.2491299314866802e-08,2.243125074467206e-06,True
TRIM14,513.875258532177,1.0039726218996392,0.17643905506167024,5.690194960229886,1.2689440643983738e-08,2.2505741270551897e-06,True
HMGN2P46,18.263830338218842,2.457728256751805,0.4340534098814237,5.6622715103729195,1.493822142334824e-08,2.588100981282448e-06,True
IFI16,1293.4289767504408,1.3098688538852845,0.23133960423874242,5.662103807065825,1.4952831786610273e-08,2.588100981282448e-06,True
N4BP1,820.9849972372076,0.7280533155129446,0.12910466903902926,5.639248533241265,1.7079387422762314e-08,2.92098190137385e-06,True
GBP3,636.4492879958312,1.1214836508101567,0.19933461679407508,5.626135935880712,1.8429113711732807e-08,3.114737030385335e-06,True
