Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,positive regulation of peptidyl-lysine acetylation (GO:2000758),1/20,0.2465763264894162,0.3362404452128403,0,0,3.703007518796992,5.184520440263509,IL1B
GO_Biological_Process_2021,positive regulation of protein processing (GO:0010954),1/20,0.2465763264894162,0.3362404452128403,0,0,3.703007518796992,5.184520440263509,CCBE1
KEGG_2021_Human,Protein digestion and absorption,3/103,0.1766727924623064,0.3396382130956407,0,0,2.117158273381295,3.67000047352984,COL5A1;COL4A1;COL22A1
GO_Biological_Process_2021,peptidyl-tyrosine phosphorylation (GO:0018108),2/69,0.2528885122847901,0.3446471279827657,0,0,2.102605253303376,2.890675474896756,PDGFB;FYN
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,IFI16
GO_Biological_Process_2021,NAD biosynthetic process (GO:0009435),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,PARP9
GO_Biological_Process_2021,negative regulation of peptidyl-serine phosphorylation (GO:0033137),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,GADD45A
GO_Biological_Process_2021,regulation of phosphorylation (GO:0042325),3/125,0.2570095505036369,0.3456540337825166,0,0,1.7334296497228447,2.355110383855323,CCL5;INHBA;EREG
GO_Biological_Process_2021,regulation of anoikis (GO:2000209),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,SNAI2
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),3/125,0.2570095505036369,0.3456540337825166,0,0,1.7334296497228447,2.355110383855323,SOD2;MMP9;DHRS2
GO_Biological_Process_2021,nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,SAMD4A
GO_Biological_Process_2021,cellular response to steroid hormone stimulus (GO:0071383),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,NKX3-1
GO_Biological_Process_2021,negative regulation of protein localization to cell periphery (GO:1904376),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,GBP1
GO_Biological_Process_2021,negative regulation of protein localization to plasma membrane (GO:1903077),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,GBP1
GO_Biological_Process_2021,regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,CX3CL1
GO_Biological_Process_2021,positive regulation of immune system process (GO:0002684),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,VEGFA
GO_Biological_Process_2021,calcium-mediated signaling using intracellular calcium source (GO:0035584),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,CCL20
GO_Biological_Process_2021,regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,ANK2
GO_Biological_Process_2021,neuron apoptotic process (GO:0051402),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,NLRP1
GO_Biological_Process_2021,negative regulation of response to wounding (GO:1903035),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,SERPINE1
GO_Biological_Process_2021,sensory perception of pain (GO:0019233),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,CCL2
GO_Biological_Process_2021,positive regulation of lipid storage (GO:0010884),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,C3
GO_Biological_Process_2021,endocardial cushion development (GO:0003197),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,BMP2
GO_Biological_Process_2021,regulation of lipoprotein lipase activity (GO:0051004),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,ANGPTL4
GO_Biological_Process_2021,extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,BCL2A1
GO_Biological_Process_2021,regulation of transposition (GO:0010528),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,APOBEC3G
GO_Biological_Process_2021,histone ubiquitination (GO:0016574),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,DTX3L
GO_Biological_Process_2021,hydrogen peroxide catabolic process (GO:0042744),1/21,0.2571725097501544,0.3456540337825166,0,0,3.517678571428571,4.777036257396929,PXDN
GO_Biological_Process_2021,sterol metabolic process (GO:0016125),2/70,0.2581011676905353,0.3461070099689701,0,0,2.071579169302129,2.805754384208094,ABCA1;CYP1B1
GO_Biological_Process_2021,carbohydrate homeostasis (GO:0033500),2/70,0.2581011676905353,0.3461070099689701,0,0,2.071579169302129,2.805754384208094,IL6;OAS1
GO_Biological_Process_2021,kidney development (GO:0001822),2/70,0.2581011676905353,0.3461070099689701,0,0,2.071579169302129,2.805754384208094,HAS2;VEGFA
GO_Biological_Process_2021,wound healing (GO:0042060),2/70,0.2581011676905353,0.3461070099689701,0,0,2.071579169302129,2.805754384208094,ITGB3;EREG
GO_Biological_Process_2021,circulatory system development (GO:0072359),3/126,0.2607905178139491,0.3493130003918951,0,0,1.7192489910510615,2.31073564476418,BMP2;HEG1;PDGFB
GO_Biological_Process_2021,synapse organization (GO:0050808),3/126,0.2607905178139491,0.3493130003918951,0,0,1.7192489910510615,2.31073564476418,NEDD4;NRCAM;CX3CL1
GO_Biological_Process_2021,Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),2/71,0.2633153393436206,0.3522915346278286,0,0,2.041452392083528,2.724120106795724,FYN;VAV1
GO_Biological_Process_2021,cellular response to BMP stimulus (GO:0071773),2/71,0.2633153393436206,0.3522915346278286,0,0,2.041452392083528,2.724120106795724,BMP2;RUNX2
GO_Biological_Process_2021,membrane lipid metabolic process (GO:0006643),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,CYP1B1
GO_Biological_Process_2021,negative regulation of biomineral tissue development (GO:0070168),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,GREM1
GO_Biological_Process_2021,natural killer cell mediated cytotoxicity (GO:0042267),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,ULBP1
GO_Biological_Process_2021,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,NEDD4
GO_Biological_Process_2021,negative regulation of cyclin-dependent protein kinase activity (GO:1904030),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,MYOCD
GO_Biological_Process_2021,negative regulation of lipid biosynthetic process (GO:0051055),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,BMP2
GO_Biological_Process_2021,regulation of macrophage chemotaxis (GO:0010758),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,CCL5
GO_Biological_Process_2021,regulation of execution phase of apoptosis (GO:1900117),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,FAP
GO_Biological_Process_2021,regulation of cardiac muscle cell membrane repolarization (GO:0099623),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,ANK2
GO_Biological_Process_2021,positive regulation of calcium ion transmembrane transporter activity (GO:1901021),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,ANK2
GO_Biological_Process_2021,negative regulation of phosphate metabolic process (GO:0045936),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,INHBA
GO_Biological_Process_2021,positive regulation of amyloid precursor protein catabolic process (GO:1902993),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,TNF
GO_Biological_Process_2021,lipid droplet organization (GO:0034389),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,PLA2G4C
GO_Biological_Process_2021,homologous chromosome segregation (GO:0045143),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,ANKRD31
GO_Biological_Process_2021,positive regulation of translational initiation (GO:0045948),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,CCL5
GO_Biological_Process_2021,positive regulation of signal transduction by p53 class mediator (GO:1901798),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,ANKRD1
GO_Biological_Process_2021,positive regulation of lipid catabolic process (GO:0050996),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,IL1B
GO_Biological_Process_2021,protein localization to cell junction (GO:1902414),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,HEG1
GO_Biological_Process_2021,positive regulation of dendritic spine development (GO:0060999),1/22,0.2676201906010945,0.354203193442625,0,0,3.35,4.415924784706917,CUX2
GO_Biological_Process_2021,response to ionizing radiation (GO:0010212),2/72,0.2685299595898027,0.3548052543422576,0,0,2.0121863799283157,2.6456081443007595,IFI16;GADD45A
GO_Biological_Process_2021,plasma membrane bounded cell projection organization (GO:0120036),3/128,0.2683737066697526,0.3548052543422576,0,0,1.691568345323741,2.225046444811478,IL6;MAP2;NEDD4
GO_Biological_Process_2021,Fc-gamma receptor signaling pathway (GO:0038094),2/72,0.2685299595898027,0.3548052543422576,0,0,2.0121863799283157,2.6456081443007595,FYN;VAV1
KEGG_2021_Human,cAMP signaling pathway,5/216,0.1885394906724703,0.359353046324452,0,0,1.6749089910021293,2.7944982119375283,NFKBIA;HCAR3;ADRB2;VAV1;CREB5
GO_Biological_Process_2021,regulation of Rho protein signal transduction (GO:0035023),2/73,0.2737439901485556,0.3612864844600226,0,0,1.9837447624817,2.570064236527685,ABCA1;HEG1
GO_Biological_Process_2021,positive regulation of synaptic transmission (GO:0050806),2/73,0.2737439901485556,0.3612864844600226,0,0,1.9837447624817,2.570064236527685,CCL2;TNF
GO_Biological_Process_2021,regulation of toll-like receptor 4 signaling pathway (GO:0034143),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,TNFAIP3
GO_Biological_Process_2021,positive regulation of JUN kinase activity (GO:0043507),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,TNF
GO_Biological_Process_2021,regulation of supramolecular fiber organization (GO:1902903),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,MAP2
GO_Biological_Process_2021,cilium-dependent cell motility (GO:0060285),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,DNAH17
GO_Biological_Process_2021,regulation of interleukin-4 production (GO:0032673),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,NLRP3
GO_Biological_Process_2021,regulation of necroptotic process (GO:0060544),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,BIRC3
GO_Biological_Process_2021,positive regulation of natural killer cell mediated immunity (GO:0002717),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,RASGRP1
GO_Biological_Process_2021,positive regulation of cholesterol efflux (GO:0010875),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,NFKBIA
GO_Biological_Process_2021,nucleotide metabolic process (GO:0009117),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,CMPK2
GO_Biological_Process_2021,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,ANK2
GO_Biological_Process_2021,regulation of protein export from nucleus (GO:0046825),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,IL1B
GO_Biological_Process_2021,negative regulation of G protein-coupled receptor signaling pathway (GO:0045744),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,CCL5
GO_Biological_Process_2021,glucose 6-phosphate metabolic process (GO:0051156),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,HK2
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase I (GO:0045943),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,BNC1
GO_Biological_Process_2021,artery development (GO:0060840),1/23,0.2779214429021633,0.3637226937310192,0,0,3.197564935064935,4.094215813067605,VEGFA
GO_Biological_Process_2021,proteolysis involved in cellular protein catabolic process (GO:0051603),2/74,0.2789564217598259,0.3644656766711293,0,0,1.9560931899641576,2.497343596173001,FAP;TNFAIP3
GO_Biological_Process_2021,Fc receptor mediated stimulatory signaling pathway (GO:0002431),2/74,0.2789564217598259,0.3644656766711293,0,0,1.9560931899641576,2.497343596173001,FYN;VAV1
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",2/74,0.2789564217598259,0.3644656766711293,0,0,1.9560931899641576,2.497343596173001,GADD45A;NDRG1
GO_Biological_Process_2021,cellular response to hypoxia (GO:0071456),3/131,0.2797946392721976,0.3653568392282045,0,0,1.6516692895683454,2.103730143606816,NDRG1;NKX3-1;VEGFA
KEGG_2021_Human,Regulation of actin cytoskeleton,5/218,0.1933696707404172,0.3654359031789242,0,0,1.6590120432741375,2.7260081766384885,FGF19;ITGB3;ITGA2;PDGFB;VAV1
GO_Biological_Process_2021,transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),3/133,0.2874340456627084,0.3699798294037444,0,0,1.626092971776425,2.0273506841266573,BMP2;INHBA;RUNX2
GO_Biological_Process_2021,regulation of canonical Wnt signaling pathway (GO:0060828),5/253,0.2837424396538955,0.3699798294037444,0,0,1.4223205937353904,1.7916806889099333,GREM1;ZEB2;BMP2;SNAI2;RBMS3
GO_Biological_Process_2021,positive regulation of cell-substrate junction organization (GO:0150117),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,VEGFA
GO_Biological_Process_2021,positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,ZEB2
GO_Biological_Process_2021,positive regulation of neuron apoptotic process (GO:0043525),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,TNF
GO_Biological_Process_2021,positive regulation of phospholipase activity (GO:0010518),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,CCL5
GO_Biological_Process_2021,histone monoubiquitination (GO:0010390),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,DTX3L
GO_Biological_Process_2021,negative regulation of synaptic transmission (GO:0050805),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,IL1B
GO_Biological_Process_2021,cardiac muscle cell development (GO:0055013),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,VEGFA
GO_Biological_Process_2021,C21-steroid hormone metabolic process (GO:0008207),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,DHRS2
GO_Biological_Process_2021,regulation of cell size (GO:0008361),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,VAV1
GO_Biological_Process_2021,canonical glycolysis (GO:0061621),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,HK2
GO_Biological_Process_2021,dorsal/ventral pattern formation (GO:0009953),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,GREM1
GO_Biological_Process_2021,cholesterol efflux (GO:0033344),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,ABCA1
GO_Biological_Process_2021,glucose catabolic process to pyruvate (GO:0061718),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,HK2
GO_Biological_Process_2021,positive regulation of protein targeting to membrane (GO:0090314),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,FYN
GO_Biological_Process_2021,neuromuscular junction development (GO:0007528),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,NEDD4
GO_Biological_Process_2021,lipid translocation (GO:0034204),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,ABCA1
GO_Biological_Process_2021,sulfur amino acid metabolic process (GO:0000096),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,CBS
GO_Biological_Process_2021,mammary gland development (GO:0030879),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,VEGFA
GO_Biological_Process_2021,"wound healing, spreading of cells (GO:0044319)",1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,COL5A1
GO_Biological_Process_2021,negative regulation of NIK/NF-kappaB signaling (GO:1901223),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,NLRP3
GO_Biological_Process_2021,negative regulation of ossification (GO:0030279),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,GREM1
GO_Biological_Process_2021,negative regulation of stress fiber assembly (GO:0051497),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,PHLDB2
GO_Biological_Process_2021,positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,ZEB2
GO_Biological_Process_2021,phospholipid catabolic process (GO:0009395),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,PLA2G4C
GO_Biological_Process_2021,positive regulation of carbohydrate metabolic process (GO:0045913),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,PDGFB
GO_Biological_Process_2021,positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,VEGFA
GO_Biological_Process_2021,protein K48-linked deubiquitination (GO:0071108),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,TNFAIP3
GO_Biological_Process_2021,purine nucleotide metabolic process (GO:0006163),1/24,0.2880783116126591,0.3699798294037444,0,0,3.058385093167702,3.806230348122145,XDH
GO_Biological_Process_2021,establishment of protein localization to organelle (GO:0072594),2/76,0.2893725915328676,0.3712345746638762,0,0,1.9030320643223868,2.3598362182079367,LAMP3;HK2
GO_Biological_Process_2021,regulation of cell division (GO:0051302),2/76,0.2893725915328676,0.3712345746638762,0,0,1.9030320643223868,2.3598362182079367,TXNIP;NKX3-1
GO_Biological_Process_2021,nervous system development (GO:0007399),8/447,0.2934920531731799,0.3763130983152006,0,0,1.2869742254708083,1.5777077725700706,ZEB2;FGF19;NRCAM;CHAC1;VLDLR;INHBA;PCDH1;VEGFA
KEGG_2021_Human,VEGF signaling pathway,2/59,0.2011026210440613,0.3768561722086191,0,0,2.47274099226561,3.9661280604129736,PLA2G4C;VEGFA
GO_Biological_Process_2021,acylglycerol homeostasis (GO:0055090),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,ANGPTL4
GO_Biological_Process_2021,negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,GBP1
GO_Biological_Process_2021,regulation of AMPA receptor activity (GO:2000311),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,ADRB2
GO_Biological_Process_2021,positive regulation of release of cytochrome c from mitochondria (GO:0090200),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,MMP9
GO_Biological_Process_2021,peptide catabolic process (GO:0043171),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,CHAC1
GO_Biological_Process_2021,positive regulation of ERBB signaling pathway (GO:1901186),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,MMP9
GO_Biological_Process_2021,positive regulation of lipid metabolic process (GO:0045834),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,IL1B
GO_Biological_Process_2021,regulation of cardiac muscle cell action potential (GO:0098901),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,ANK2
GO_Biological_Process_2021,fat-soluble vitamin metabolic process (GO:0006775),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,CYP1A1
GO_Biological_Process_2021,sodium ion homeostasis (GO:0055078),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,TMPRSS3
GO_Biological_Process_2021,glycolytic process through glucose-6-phosphate (GO:0061620),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,HK2
GO_Biological_Process_2021,response to dsRNA (GO:0043331),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,DDX58
GO_Biological_Process_2021,cellular polysaccharide biosynthetic process (GO:0033692),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,HAS2
GO_Biological_Process_2021,regulation of epidermal cell differentiation (GO:0045604),1/25,0.2980928133824836,0.3793024379091962,0,0,2.930803571428572,3.547299235917498,MAFF
KEGG_2021_Human,Viral myocarditis,2/60,0.2062344397556637,0.383252333879275,0,0,2.4299839327648005,3.83631696552588,FYN;ICAM1
GO_Biological_Process_2021,axon development (GO:0061564),2/79,0.304961215360407,0.3876204475520654,0,0,1.8286086673183448,2.171602026091027,ACTBL2;NRCAM
GO_Biological_Process_2021,regulation of neuron differentiation (GO:0045664),2/79,0.304961215360407,0.3876204475520654,0,0,1.8286086673183448,2.171602026091027,BMP2;NRCAM
GO_Biological_Process_2021,regulation of regulatory T cell differentiation (GO:0045589),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,IRF1
GO_Biological_Process_2021,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,SNAI2
GO_Biological_Process_2021,regulation of mitotic metaphase/anaphase transition (GO:0030071),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,DUSP1
GO_Biological_Process_2021,phosphatidylethanolamine acyl-chain remodeling (GO:0036152),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,PLA2G4C
GO_Biological_Process_2021,regulation of biomineral tissue development (GO:0070167),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,AMTN
GO_Biological_Process_2021,positive regulation of ion transmembrane transporter activity (GO:0032414),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,ANK2
GO_Biological_Process_2021,regulation of myelination (GO:0031641),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,TNFRSF1B
GO_Biological_Process_2021,purine-containing compound biosynthetic process (GO:0072522),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,AMPD3
GO_Biological_Process_2021,glial cell development (GO:0021782),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,TLR2
GO_Biological_Process_2021,positive regulation of glucose import (GO:0046326),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,FGF19
GO_Biological_Process_2021,regulation of actin filament bundle assembly (GO:0032231),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,CX3CL1
GO_Biological_Process_2021,negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,LAMP3
GO_Biological_Process_2021,negative regulation of transposition (GO:0010529),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,APOBEC3G
GO_Biological_Process_2021,negative regulation of signaling receptor activity (GO:2000272),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,TNF
GO_Biological_Process_2021,negative regulation of receptor-mediated endocytosis (GO:0048261),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,ITGB3
GO_Biological_Process_2021,positive regulation of T cell mediated cytotoxicity (GO:0001916),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,IL23A
GO_Biological_Process_2021,lamellipodium assembly (GO:0030032),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,ABLIM3
GO_Biological_Process_2021,negative regulation of protein localization to membrane (GO:1905476),1/26,0.3079669366316516,0.3876506894664147,0,0,2.813428571428572,3.3135516535963374,GBP1
GO_Biological_Process_2021,regulation of protein localization to plasma membrane (GO:1903076),2/80,0.3101444000857999,0.3901816646240708,0,0,1.8050730631375795,2.1132302325059773,TNF;GBP1
KEGG_2021_Human,Cholinergic synapse,3/113,0.212380788040397,0.3914125267190788,0,0,1.9237083060824067,2.9805444900258817,KCNQ3;FYN;CREB5
KEGG_2021_Human,Leukocyte transendothelial migration,3/114,0.2160363800772231,0.3948861701411537,0,0,1.906280381100525,2.92100955356094,MMP9;VAV1;ICAM1
GO_Biological_Process_2021,neuron projection morphogenesis (GO:0048812),3/140,0.3142772061953286,0.3949563171305418,0,0,1.5424565457123351,1.7853623869792223,ACTBL2;MAP2;NRCAM
GO_Biological_Process_2021,enzyme linked receptor protein signaling pathway (GO:0007167),3/140,0.3142772061953286,0.3949563171305418,0,0,1.5424565457123351,1.7853623869792223,LIF;NEDD9;FYN
GO_Biological_Process_2021,negative regulation of protein modification process (GO:0031400),2/81,0.3153196800193924,0.3960537043721837,0,0,1.7821332970373396,2.0568817534870862,PPP1R15A;XDH
GO_Biological_Process_2021,positive regulation of muscle cell differentiation (GO:0051149),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,MYOCD
GO_Biological_Process_2021,cellular response to cadmium ion (GO:0071276),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,MMP9
GO_Biological_Process_2021,positive regulation of toll-like receptor signaling pathway (GO:0034123),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,TLR2
GO_Biological_Process_2021,negative regulation of cation channel activity (GO:2001258),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,MMP9
GO_Biological_Process_2021,positive regulation of gene silencing by miRNA (GO:2000637),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,IL6
GO_Biological_Process_2021,peptide hormone secretion (GO:0030072),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,IL6
GO_Biological_Process_2021,modulation of excitatory postsynaptic potential (GO:0098815),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,CUX2
GO_Biological_Process_2021,regulation of cell junction assembly (GO:1901888),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,SNAI2
GO_Biological_Process_2021,cellular lipid catabolic process (GO:0044242),1/27,0.3177026422091728,0.3962815473184778,0,0,2.705082417582417,3.1017541372202078,CYP1B1
