"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"TMEM206",237.294117384012,0.419592342862442,0.0819740078947609,7.78216713614058e-08,1.03908849022121e-05,TRUE
"THEMIS2",100.1445439659,1.02946453733952,0.22865230779423,7.97191790665302e-08,1.04767544172894e-05,TRUE
"CREB5",133.563945980119,1.29814829892373,0.290291862279051,7.98293889171513e-08,1.04767544172894e-05,TRUE
"VEGFA",2549.41490671905,1.10804544674241,0.229375996731822,8.38063896051397e-08,1.0905484003279e-05,TRUE
"ZFP28",85.7775998512184,0.700343028249111,0.141621238891457,8.65323586157227e-08,1.1165582912138e-05,TRUE
"TRIP4",487.493384457327,0.376664986058695,0.0733934261865485,8.86773260505401e-08,1.13470028458837e-05,TRUE
"OPTN",1884.41868498516,0.884904581174569,0.190701341842115,9.99979552745219e-08,1.25533437706249e-05,TRUE
"IRF9",552.566235850046,1.15436045990544,0.24443782382559,1.00374152869342e-07,1.25533437706249e-05,TRUE
"ARHGEF28",1300.22752259797,0.534145212407721,0.109894538209045,1.02192638966338e-07,1.25533437706249e-05,TRUE
"WTAP",792.680180042895,0.504538973967716,0.101626018199587,1.01939508753059e-07,1.25533437706249e-05,TRUE
"MYC",2339.99271756765,0.375110652857605,0.0732027620679289,1.00801775677571e-07,1.25533437706249e-05,TRUE
"KLF11",180.084870324034,0.775853342016828,0.161230432003298,1.0517692902458e-07,1.28173948029558e-05,TRUE
"TGFA",961.735157553353,0.767788116808397,0.158433365452715,1.06921628948225e-07,1.29274142716535e-05,TRUE
"PCDH1",1038.8371072531,1.330936908429,0.284175805956444,1.10410128685491e-07,1.31422288834552e-05,TRUE
"GRB10",1067.19368516609,0.946945283743785,0.196465234603058,1.10152378806762e-07,1.31422288834552e-05,TRUE
"AKAP12",2601.50089438838,1.2747527183607,0.276148259347043,1.11505417552191e-07,1.31705052808761e-05,TRUE
"PARP12",534.700655290315,0.786267760629969,0.174838836364068,1.22290314349074e-07,1.43341051666415e-05,TRUE
"KBTBD2",668.376845971297,0.465073463098878,0.094762330855048,1.26809927006454e-07,1.47512608271523e-05,TRUE
"RUNX2",56.7797650263885,1.80003488449159,0.419266005345451,1.31170680122513e-07,1.51078714049827e-05,TRUE
"ANXA13",206.602882256237,-1.77861966125653,0.376663501545744,1.31843358402324e-07,1.51078714049827e-05,TRUE
"PSEN1",1272.51082471101,0.317583157250491,0.0620331005221844,1.34315275855282e-07,1.52771189685767e-05,TRUE
"TAP1",1256.79727612883,0.83961680446244,0.192899431304991,1.36741570833802e-07,1.54387266187723e-05,TRUE
"RAI14",2305.88873443308,1.0336302089873,0.216829239727959,1.53843988582094e-07,1.7242879158234e-05,TRUE
"HK2",805.862996584636,0.93754758348041,0.199266042018832,1.6914060709649e-07,1.88199566809174e-05,TRUE
"AMMECR1L",602.869673948688,0.535779806750322,0.110367681134683,1.70451800281546e-07,1.88294057073607e-05,TRUE
"FAM149A",94.7418440662556,-0.69234664937815,0.14444043064866,1.79509731565815e-07,1.95526746454914e-05,TRUE
"MIOS",342.891122149386,0.433460681702379,0.0872894862096073,1.79545888962181e-07,1.95526746454914e-05,TRUE
"LARS",2150.69537212408,0.51284196953036,0.105287179787048,1.96204515726424e-07,2.12163404153468e-05,TRUE
"SEMA7A",1397.81438122418,1.03558708968752,0.239301489760795,2.00440446795192e-07,2.1522818605176e-05,TRUE
"TNFRSF9",42.4289829505916,1.65513142509465,0.412547761666084,2.13871564209675e-07,2.26482611616522e-05,TRUE
"ETV7",47.1746358489981,2.17910687209602,0.551561113118756,2.12990117813753e-07,2.26482611616522e-05,TRUE
"C1QTNF1",707.443506296859,1.24652377867228,0.297203341944997,2.17515535103457e-07,2.28763769966684e-05,TRUE
"CFLAR",2408.27055988969,0.651499414127578,0.145926285142265,2.25343448664273e-07,2.35384262193191e-05,TRUE
"STAT5A",94.7989066220009,0.975899456619744,0.217001185965676,2.36116910875544e-07,2.44971295033377e-05,TRUE
"CYLD",439.249883828977,0.704183858288392,0.15768118371192,2.48656869618712e-07,2.56250082751364e-05,TRUE
